No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
1093,171,6,60.0,22.0,702000.0,45283.0,10000.0,0.0,20/12/2019 ,CIHAMPELAS
1094,171,6,72.0,36.0,702000.0,105120.0,92123.0,0.0,20/12/2019 ,CIHAMPELAS
1095,171,6,60.0,22.0,702000.0,45283.0,52230.0,0.0,20/12/2019 ,CIHAMPELAS
1096,171,6,72.0,36.0,702000.0,105120.0,21600.0,0.0,20/12/2019 ,CIHAMPELAS
1097,171,6,60.0,22.0,702000.0,45283.0,21600.0,0.0,20/12/2019 ,CIHAMPELAS
1098,171,6,60.0,22.0,702000.0,65472.0,18000.0,0.0,20/12/2019 ,CIHAMPELAS
1099,171,6,60.0,22.0,702000.0,75472.0,11160.0,0.0,20/12/2019 ,CIHAMPELAS
1100,171,6,87.0,22.0,702000.0,56656.0,92160.0,0.0,20/12/2019 ,CIHAMPELAS
1101,171,6,73.0,36.0,702000.0,63493.0,20100.0,0.0,20/12/2019 ,CIHAMPELAS
1102,171,6,72.0,36.0,702000.0,105120.0,10800.0,0.0,20/12/2019 ,CIHAMPELAS
1103,171,6,72.0,36.0,702000.0,105120.0,58304.0,0.0,20/12/2019 ,CIHAMPELAS
